,Date,Price,Open,High,Low,Volume,Change(%)
0,09 Oct 2024,4252.95,4260.00,4295.00,4246.70,1082504,-0.01%
1,08 Oct 2024,4253.25,4272.60,4279.40,4203.95,1541867,-0.46%
2,07 Oct 2024,4272.85,4273.90,4297.25,4229.40,1472619,0.48%
3,04 Oct 2024,4252.25,4225.00,4298.00,4224.05,2965463,0.46%
4,03 Oct 2024,4232.75,4262.60,4279.00,4210.00,3350119,-1.29%
5,01 Oct 2024,4287.90,4255.55,4295.75,4242.95,1823365,0.45%
6,30 Sep 2024,4268.50,4286.90,4298.75,4260.05,2503416,-0.93%
7,27 Sep 2024,4308.70,4335.00,4378.00,4300.05,3012477,0.38%
8,26 Sep 2024,4292.50,4260.00,4316.80,4260.00,3964251,0.42%
9,25 Sep 2024,4274.75,4252.35,4289.60,4240.00,2713073,0.08%
10,24 Sep 2024,4271.30,4251.65,4291.00,4240.00,3012026,0.07%
11,23 Sep 2024,4268.50,4300.00,4309.40,4253.00,1702319,-0.38%
12,20 Sep 2024,4284.90,4316.90,4330.70,4227.50,5447908,-0.26%
13,19 Sep 2024,4296.15,4390.05,4422.20,4281.80,2927551,-1.15%
14,18 Sep 2024,4346.15,4497.05,4497.05,4321.00,2961779,-3.54%
15,17 Sep 2024,4505.65,4513.25,4535.80,4466.00,1699364,-0.17%
16,16 Sep 2024,4513.25,4527.00,4546.05,4494.45,1155120,-0.21%
17,13 Sep 2024,4522.60,4530.00,4547.00,4505.00,1458786,0.11%
18,12 Sep 2024,4517.70,4510.25,4532.60,4431.30,2742216,0.86%
19,11 Sep 2024,4479.35,4521.45,4549.35,4471.25,1325919,-0.63%
20,10 Sep 2024,4507.85,4442.45,4539.95,4440.45,1385591,1.31%
21,09 Sep 2024,4449.55,4455.00,4490.25,4430.50,1184938,-0.16%
22,06 Sep 2024,4456.75,4473.95,4518.95,4440.00,1649179,-0.43%
23,05 Sep 2024,4475.95,4481.00,4499.00,4454.15,1688793,-0.07%
24,04 Sep 2024,4479.25,4476.95,4487.00,4436.70,1265505,-0.73%
25,03 Sep 2024,4512.35,4521.05,4555.90,4495.90,1717263,-0.19%
26,02 Sep 2024,4521.05,4576.00,4588.00,4512.00,1216500,-0.72%
27,30 Aug 2024,4553.75,4500.00,4592.25,4487.80,3637222,0.93%
28,29 Aug 2024,4511.80,4460.00,4556.00,4460.00,2133641,0.13%
29,28 Aug 2024,4506.05,4498.75,4562.50,4457.30,1848058,0.20%
30,27 Aug 2024,4497.15,4505.00,4510.00,4486.80,930697,-0.12%
31,26 Aug 2024,4502.45,4489.00,4552.15,4485.00,1844164,0.86%
32,23 Aug 2024,4463.90,4500.00,4506.00,4455.00,1809253,-0.85%
33,22 Aug 2024,4502.00,4560.00,4560.95,4497.20,1829872,-1.09%
34,21 Aug 2024,4551.50,4518.00,4560.00,4492.55,1896990,0.62%
35,20 Aug 2024,4523.30,4505.00,4565.00,4500.00,2212298,0.74%
36,19 Aug 2024,4490.00,4421.00,4494.25,4390.35,2055210,1.67%
37,16 Aug 2024,4416.05,4350.00,4427.00,4325.10,3457058,2.81%
38,14 Aug 2024,4295.25,4209.00,4306.20,4188.15,3226545,2.34%
39,13 Aug 2024,4196.95,4213.00,4234.00,4183.00,1495593,0.03%
40,12 Aug 2024,4195.65,4230.00,4239.00,4186.35,936912,-0.78%
41,09 Aug 2024,4228.75,4217.00,4253.65,4205.55,1302536,1.35%
42,08 Aug 2024,4172.55,4181.00,4232.00,4160.00,2441283,-0.66%
43,07 Aug 2024,4200.45,4228.00,4244.95,4180.30,1237666,0.70%
44,06 Aug 2024,4171.20,4170.95,4258.25,4160.80,2203067,0.39%
45,05 Aug 2024,4155.05,4239.00,4239.00,4110.50,2787771,-2.99%
46,02 Aug 2024,4283.05,4365.00,4398.00,4270.00,2811282,-2.59%
47,01 Aug 2024,4397.10,4399.40,4419.30,4365.05,2202244,0.27%
48,31 Jul 2024,4385.35,4350.00,4414.00,4345.00,2330091,0.46%
49,30 Jul 2024,4365.35,4391.10,4398.00,4327.30,1797906,-0.36%
50,29 Jul 2024,4381.10,4415.00,4431.00,4371.00,1746803,-0.15%
51,26 Jul 2024,4387.85,4350.00,4422.45,4337.05,3552210,1.51%
52,25 Jul 2024,4322.50,4295.00,4343.00,4274.20,2810342,0.38%
53,24 Jul 2024,4306.25,4287.50,4339.10,4268.10,1809793,0.09%
54,23 Jul 2024,4302.35,4283.00,4361.70,4266.30,2365208,0.35%
55,22 Jul 2024,4287.35,4299.95,4319.95,4265.00,1896386,-0.35%
56,19 Jul 2024,4302.40,4317.40,4358.75,4285.25,3903354,-0.30%
57,18 Jul 2024,4315.55,4160.00,4325.00,4160.00,5613364,3.28%
58,16 Jul 2024,4178.45,4172.00,4194.55,4144.90,2029521,0.22%
59,15 Jul 2024,4169.20,4235.70,4240.00,4157.05,4848030,-0.35%
60,12 Jul 2024,4183.95,3980.00,4199.95,3971.30,13509164,6.63%
61,11 Jul 2024,3923.70,3931.00,3980.00,3895.60,4872189,0.37%
62,10 Jul 2024,3909.15,3983.70,4003.30,3902.00,2669716,-1.92%
63,09 Jul 2024,3985.50,3985.00,4006.95,3975.10,1305801,-0.19%
64,08 Jul 2024,3993.20,4022.00,4031.25,3978.05,1758882,-0.46%
65,05 Jul 2024,4011.80,4010.00,4026.75,3988.00,1668616,-0.23%
66,04 Jul 2024,4020.95,3999.85,4047.35,3982.10,2518001,1.40%
67,03 Jul 2024,3965.25,4020.00,4026.10,3955.00,1821198,-1.30%
68,02 Jul 2024,4017.40,3993.60,4023.40,3982.55,2307449,0.99%
69,01 Jul 2024,3978.20,3884.00,4001.70,3884.00,2658723,1.90%
70,28 Jun 2024,3904.15,3917.80,3960.00,3897.85,2731571,-0.76%
71,27 Jun 2024,3934.15,3831.00,3942.00,3818.10,4526556,2.03%
72,26 Jun 2024,3855.85,3844.50,3866.95,3841.00,1639845,0.45%
73,25 Jun 2024,3838.45,3817.00,3847.65,3792.90,1338808,0.57%
74,24 Jun 2024,3816.80,3808.75,3857.00,3791.30,1702154,0.16%
75,21 Jun 2024,3810.75,3827.00,3877.80,3798.05,4642195,0.62%
76,20 Jun 2024,3787.25,3796.00,3809.95,3780.05,2846526,-0.38%
77,19 Jun 2024,3801.70,3827.65,3833.85,3792.95,1509050,-0.35%
78,18 Jun 2024,3815.10,3826.05,3842.00,3795.05,1774045,-0.44%
79,14 Jun 2024,3832.05,3889.00,3889.00,3828.00,1860730,-1.19%
80,13 Jun 2024,3878.15,3856.80,3890.00,3852.00,1932323,1.21%
81,12 Jun 2024,3831.65,3874.40,3893.50,3827.45,2177001,-0.53%
82,11 Jun 2024,3852.10,3845.00,3879.95,3841.00,1419898,-0.17%
83,10 Jun 2024,3858.70,3895.00,3905.90,3841.90,1734661,-0.91%
84,07 Jun 2024,3893.95,3837.30,3915.00,3837.30,4552445,1.66%
85,06 Jun 2024,3830.40,3781.00,3839.90,3741.50,4328036,2.24%
86,05 Jun 2024,3746.45,3716.00,3783.80,3700.00,2799670,0.85%
87,04 Jun 2024,3715.00,3700.00,3745.00,3591.50,3395997,0.33%
88,03 Jun 2024,3702.85,3732.80,3751.55,3696.00,2156773,0.87%
89,31 May 2024,3670.95,3740.00,3749.80,3653.75,10956800,-1.74%
90,30 May 2024,3736.10,3777.00,3794.40,3715.45,2919230,-1.78%
91,29 May 2024,3803.65,3848.90,3848.90,3800.00,1568095,-0.94%
92,28 May 2024,3839.90,3858.00,3870.00,3830.00,1801993,-0.19%
93,27 May 2024,3847.05,3855.00,3908.35,3841.35,1841538,-0.06%
94,24 May 2024,3849.50,3878.25,3883.80,3844.30,1309452,-1.13%
95,23 May 2024,3893.45,3840.95,3905.00,3825.50,2095742,1.60%
96,22 May 2024,3832.00,3835.00,3841.25,3817.55,1311168,0.31%
97,21 May 2024,3820.20,3830.60,3844.75,3810.05,1908117,-0.81%
98,18 May 2024,3851.45,3847.00,3861.90,3840.00,91066,0.45%
99,17 May 2024,3834.10,3919.00,3920.00,3830.00,2765804,-1.71%
100,16 May 2024,3900.95,3891.10,3909.50,3843.50,2599399,0.53%
101,15 May 2024,3880.40,3904.50,3926.95,3875.50,1115021,-0.53%
102,14 May 2024,3901.20,3936.00,3945.80,3892.90,1058317,-1.18%
103,13 May 2024,3947.80,3884.50,3955.00,3870.00,931326,1.38%
104,10 May 2024,3893.90,3962.60,3973.60,3885.05,1672489,-1.67%
105,09 May 2024,3960.20,3962.00,3971.00,3910.05,1726486,-0.42%
106,08 May 2024,3976.95,3961.00,3984.30,3938.60,1247685,-0.05%
107,07 May 2024,3978.95,3930.80,3988.00,3913.50,2062112,1.48%
108,06 May 2024,3921.05,3853.00,3939.95,3853.00,2053831,2.02%
109,03 May 2024,3843.40,3890.15,3893.60,3797.60,2962234,-0.52%
110,02 May 2024,3863.30,3778.05,3871.10,3778.05,2491044,1.12%
111,30 Apr 2024,3820.65,3872.00,3881.75,3810.00,2203078,-1.28%
112,29 Apr 2024,3870.20,3838.00,3877.80,3819.20,1110693,1.28%
113,26 Apr 2024,3821.35,3855.15,3876.80,3802.55,2039178,-0.80%
114,25 Apr 2024,3852.20,3811.20,3873.65,3811.00,2856271,0.55%
115,24 Apr 2024,3831.05,3890.00,3898.00,3824.45,1317312,-1.13%
116,23 Apr 2024,3874.70,3877.05,3895.00,3860.60,1807586,0.26%
117,22 Apr 2024,3864.60,3837.00,3878.00,3812.00,1728883,1.00%
118,19 Apr 2024,3826.20,3838.00,3852.55,3800.90,2957749,-0.93%
119,18 Apr 2024,3862.00,3876.80,3936.00,3850.00,3476284,-0.28%
120,16 Apr 2024,3872.80,3902.00,3928.70,3862.85,3051420,-1.74%
121,15 Apr 2024,3941.20,4001.40,4064.20,3919.05,4200329,-1.50%
122,12 Apr 2024,4001.40,3971.00,4013.35,3945.50,4354821,0.42%
123,10 Apr 2024,3984.65,3956.40,3990.20,3918.00,2101965,0.97%
124,09 Apr 2024,3946.55,3984.00,4015.85,3925.05,1876992,-0.65%
125,08 Apr 2024,3972.55,3983.00,4032.65,3960.00,2302538,-0.17%
126,05 Apr 2024,3979.25,3978.00,4002.00,3960.50,1636819,-0.60%
127,04 Apr 2024,4003.30,3975.90,4028.65,3935.25,3394637,1.42%
128,03 Apr 2024,3947.30,3851.00,3981.00,3851.00,3973090,1.63%
129,02 Apr 2024,3883.80,3890.00,3909.85,3873.00,2142666,-0.84%
130,01 Apr 2024,3916.75,3897.70,3933.30,3888.05,1569676,1.04%
131,28 Mar 2024,3876.30,3850.10,3915.00,3840.50,4311783,0.92%
132,27 Mar 2024,3840.90,3888.50,3895.00,3829.40,1968575,-0.94%
133,26 Mar 2024,3877.50,3875.00,3946.70,3871.45,3440925,-0.85%
134,22 Mar 2024,3910.90,3897.00,3938.00,3855.00,5852485,-1.56%
135,21 Mar 2024,3972.95,3990.05,4008.40,3948.00,3829582,0.05%
136,20 Mar 2024,3970.90,3986.00,4018.00,3960.20,1817913,-0.16%
137,19 Mar 2024,3977.30,4051.25,4058.00,3966.60,8931209,-4.22%
